Qty,Line Item,Manufacturer,MPN,Octopart URL,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL
,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark
1,RFD22301,RF Digital,RFD22301,https://octopart.com/rfd22301-rf+digital-31889160,1,1562-1016-ND,,,Tray,,,16.77,,,5339,,,1,,,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0420ff8&vpid=187403668,,
1,TPS73033DBVT,Texas Instruments,TPS73033DBVT,https://octopart.com/tps73033dbvt-texas+instruments-3543736,1,296-27057-6-ND,TPS73033DBVT,94X3075,Custom Reel,,Tape & Reel,0.84,0.81,0.82,2373,1202,2500,1,,1,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0bd7ba6&vpid=34363643,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=025eff1&vpid=37722774,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0995751&vpid=175871623
1,MC0402B104K160CT,Multicomp,MC0402B104K160CT,https://octopart.com/mc0402b104k160ct-multicomp-10529951,1,,,33R0276,,,,,,0.002,,,86170,,,1,,,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0b5a673&vpid=89410842
2,MC0402B103J160CT,Multicomp,MC0402B103J160CT,https://octopart.com/mc0402b103j160ct-multicomp-29252201,2,,,90W2800,,,Tape & Reel,,,0.001,,,30000,,,1,,,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0e40e42&vpid=89427602
1,C1005X5R0J225K050BC,EPCOS,C1005X5R0J225K050BC,https://octopart.com/c1005x5r0j225k050bc-epcos-26451566,1,445-6847-1-ND,C1005X5R0J225K050BC,87R3251,Cut Tape,,Tape & Reel,0.24,0.24,0.053,538721,83183,0,1,,1,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=05fc040&vpid=63971695,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0c146d3&vpid=66163905,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0a3da1a&vpid=64058174
1,SSSS810701,ALPS,SSSS810701,https://octopart.com/ssss810701-alps-7850377,1,,SSSS810701,,,,,,0.2,,,6063,,,,,,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=067f3cc&vpid=39295220,
1,KP-1608SURCK,Kingbright,KP-1608SURCK,https://octopart.com/kp-1608surck-kingbright-12142339,1,,,,,,,,,,,,,,,,,,
1,CRCW0402330RFKED,Vishay Draloric,CRCW0402330RFKED,https://octopart.com/crcw0402330rfked-vishay+draloric-39818007,1,,CRCW0402330RFKED,,,,,,0.08,,,40753,,,,,,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=001daf1&vpid=114828581,
1,GRM155C80J105KE15D,Murata,GRM155C80J105KE15D,https://octopart.com/grm155c80j105ke15d-murata-10477256,1,490-6281-6-ND,GRM155C80J105KE15D,68X2779,Custom Reel,,,0.1,0.1,0.009,6498,243708,12966,1,,1,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0b1475a&vpid=64140611,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=0339036&vpid=37738616,https://octopart.com/click/vptrack?country=GB&ak=ec9249f5&sig=035b437&vpid=173672473
